filename,file_size,file_size_bytes,creation_date,original_path,full_path,file_extension,category,primary_type,mime_type,encoding,intelligent_category,confidence_score,description,key_concepts,content_hash,lines_of_code,complexity_score,predicted_business_value,integration_potential,integration_targets,estimated_effort,maturity_level,roi_potential,agent_affinity,skill_affinity,command_related,dependencies,dependents,agent_tier,last_modified,modification_count,moved_from,status,last_scan_date,documentation_score,test_coverage,code_standards,security_score,accessibility_score,related_files,tags,ownership,last_reviewed,review_status
migration_mapping.csv,11.06 KB,11328,07-08-26,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data/migration_mapping.csv,.csv,csv,csv,text/csv,utf-8,agent,0.95,Agent definition: migration_mapping.csv,"Filename,CurrentPath,Category,SuggestedDestination,Documents",82a2acd31fb886fc,0,0.0,0.68,True,,low,production,0.61,"system-architect,agent-creation-guidance","agent-creation-guidance,agent-development","activate-agents,list-skills",,,Tier-0-Canonical,05-12-26 18:23,0,,stable,07-09-26,0.5,0.0,unknown,0.85,0.0,,production,system-architect,,pending
ecosystem_agent.db,28.00 KB,28672,07-08-26,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data/ecosystem_agent.db,.db,other,other,application/octet-stream,utf-8,agent,0.95,Agent definition: ecosystem_agent.db,"OrchestrationBusiness,Swarm,ServicesBusiness,Retition,SolutionsBusiness",f0a08f1690dd59ba,0,0.0,0.68,True,,low,production,0.61,"system-architect,agent-creation-guidance","agent-creation-guidance,agent-development","activate-agents,list-skills",,,Tier-0-Canonical,01-24-26 13:12,0,,stable,07-09-26,0.5,0.0,unknown,0.85,0.0,,production,system-architect,,pending
.ultra_clean_conversations.db,24.00 KB,24576,07-08-26,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data/.ultra_clean_conversations.db,.db,other,other,application/octet-stream,utf-8,agent,0.95,Agent definition: .ultra_clean_conversations.db,,b4758ed577a8c0ef,0,0.0,0.68,True,,low,production,0.61,"system-architect,agent-creation-guidance","agent-creation-guidance,agent-development","activate-agents,list-skills",,,Tier-0-Canonical,01-16-26 16:07,0,,stable,07-09-26,0.5,0.0,unknown,0.85,0.0,,production,system-architect,,pending
NON_AVATARARTS_COMPLETE_ANALYSIS.csv,35.13 KB,35971,07-08-26,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data/NON_AVATARARTS_COMPLETE_ANALYSIS.csv,.csv,csv,csv,text/csv,utf-8,agent,0.95,Agent definition: NON_AVATARARTS_COMPLETE_ANALYSIS.csv,"Pictures,Directory,Review,agent,mcp",495e19bd85c73c1f,0,0.0,0.68,True,,low,production,0.61,"system-architect,agent-creation-guidance","agent-creation-guidance,agent-development","activate-agents,list-skills",,,Tier-0-Canonical,05-12-26 18:23,0,,stable,07-09-26,0.5,0.0,unknown,0.85,0.0,,production,system-architect,,pending
real_python_scripts.csv,1.44 MB,1511844,07-08-26,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data/real_python_scripts.csv,.csv,csv,csv,text/csv,utf-8,agent,0.95,Agent definition: real_python_scripts.csv,"Filename,Hash,Path,GitHub,agent",6f92c3978520acf6,0,0.0,0.68,True,,low,production,0.61,"system-architect,agent-creation-guidance","agent-creation-guidance,agent-development","activate-agents,list-skills",,,Tier-0-Canonical,05-12-26 18:25,0,,stable,07-09-26,0.5,0.0,unknown,0.85,0.0,,production,system-architect,,pending
reorganization_preview_2026.csv,41.47 KB,42464,07-08-26,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data/reorganization_preview_2026.csv,.csv,csv,csv,text/csv,utf-8,agent,0.95,Agent definition: reorganization_preview_2026.csv,"Filename,Action,Ecosystem,Core,Focus",12c18af2ce961f78,0,0.0,0.68,True,,low,production,0.61,"system-architect,agent-creation-guidance","agent-creation-guidance,agent-development","activate-agents,list-skills",,,Tier-0-Canonical,05-12-26 18:23,0,,stable,07-09-26,0.5,0.0,unknown,0.85,0.0,,production,system-architect,,pending
MASTER_BEFORE_AFTER_MIGRATION.csv,1.37 MB,1436245,07-08-26,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data/MASTER_BEFORE_AFTER_MIGRATION.csv,.csv,csv,csv,text/csv,utf-8,agent,0.95,Agent definition: MASTER_BEFORE_AFTER_MIGRATION.csv,"Filename,Status,Category,Master,Utilities",bd569639992ba065,0,0.0,0.68,True,,low,production,0.61,"system-architect,agent-creation-guidance","agent-creation-guidance,agent-development","activate-agents,list-skills",,,Tier-0-Canonical,05-12-26 18:25,0,,stable,07-09-26,0.5,0.0,unknown,0.85,0.0,,production,system-architect,,pending
scan_results.csv,223.58 KB,228943,07-08-26,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data/scan_results.csv,.csv,csv,csv,text/csv,utf-8,agent,0.95,Agent definition: scan_results.csv,"Users,Potential,Fixes,agent,mcp",17c7a9244fe7eb34,0,0.0,0.68,True,,low,production,0.61,"system-architect,agent-creation-guidance","agent-creation-guidance,agent-development","activate-agents,list-skills",,,Tier-0-Canonical,05-12-26 18:19,0,,stable,07-09-26,0.5,0.0,unknown,0.85,0.0,,production,system-architect,,pending
structural_dedupe_report.csv,1.34 MB,1406488,07-08-26,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data/structural_dedupe_report.csv,.csv,csv,csv,text/csv,utf-8,agent,0.95,Agent definition: structural_dedupe_report.csv,"Occurrences,Paths,SpaceManager,SimpleQwenManager,DirectoryIndexer",7a59ebed6894b861,0,0.0,0.68,True,,low,production,0.61,"system-architect,agent-creation-guidance","agent-creation-guidance,agent-development","activate-agents,list-skills",,,Tier-0-Canonical,05-12-26 18:25,0,,stable,07-09-26,0.5,0.0,unknown,0.85,0.0,,production,system-architect,,pending
demo_ecosystem_assets.csv,9.24 MB,9684935,07-08-26,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data,/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data/demo_ecosystem_assets.csv,.csv,csv,csv,text/csv,utf-8,agent,0.95,Agent definition: demo_ecosystem_assets.csv,"Asset,Users,Documentation,Powered,agent",8699d921849804d1,0,0.0,0.68,True,,low,production,0.61,"system-architect,agent-creation-guidance","agent-creation-guidance,agent-development","activate-agents,list-skills",,,Tier-0-Canonical,05-12-26 18:25,0,,stable,07-09-26,0.5,0.0,unknown,0.85,0.0,,production,system-architect,,pending
